freq,psd_x,psd_y,psd_z,psd_xyz
177.8,4.652e+01,8.996e+01,1.428e+02,2.792e+02
179.3,4.747e+01,9.855e+01,1.605e+02,3.065e+02
180.8,4.533e+01,1.019e+02,1.550e+02,3.022e+02
182.4,4.864e+01,1.046e+02,1.429e+02,2.962e+02
183.9,4.846e+01,1.075e+02,1.409e+02,2.969e+02
185.4,4.437e+01,1.068e+02,1.345e+02,2.857e+02
186.9,4.654e+01,1.087e+02,1.277e+02,2.830e+02
188.4,4.592e+01,1.079e+02,1.147e+02,2.685e+02
189.9,5.151e+01,1.086e+02,9.671e+01,2.568e+02
191.4,5.072e+01,1.007e+02,8.311e+01,2.346e+02
192.9,5.718e+01,1.137e+02,8.238e+01,2.532e+02
194.4,5.526e+01,1.122e+02,7.161e+01,2.391e+02
195.9,6.378e+01,1.131e+02,6.777e+01,2.446e+02
197.4,5.467e+01,1.094e+02,6.759e+01,2.317e+02
198.9,4.518e+01,9.751e+01,7.315e+01,2.158e+02
