freq,psd_x,psd_y,psd_z,psd_xyz
173.3,1.925e+01,7.043e+02,8.281e+02,1.552e+03
174.8,1.537e+01,7.194e+02,8.072e+02,1.542e+03
176.3,1.331e+01,6.806e+02,8.322e+02,1.526e+03
177.8,1.201e+01,6.207e+02,8.980e+02,1.531e+03
179.3,1.336e+01,5.677e+02,1.034e+03,1.615e+03
180.8,1.485e+01,5.189e+02,1.140e+03,1.674e+03
182.3,1.648e+01,4.979e+02,1.222e+03,1.736e+03
183.8,1.660e+01,4.840e+02,1.251e+03,1.752e+03
185.3,1.692e+01,4.802e+02,1.244e+03,1.741e+03
186.8,1.736e+01,4.617e+02,1.230e+03,1.709e+03
188.3,1.742e+01,4.210e+02,1.175e+03,1.614e+03
189.8,1.726e+01,3.919e+02,1.170e+03,1.579e+03
191.3,1.585e+01,3.568e+02,1.152e+03,1.524e+03
192.8,1.527e+01,3.272e+02,1.120e+03,1.463e+03
194.3,1.613e+01,3.009e+02,1.100e+03,1.417e+03
195.8,1.794e+01,2.834e+02,1.086e+03,1.387e+03
197.2,2.091e+01,2.735e+02,1.044e+03,1.338e+03
198.7,2.356e+01,2.717e+02,1.003e+03,1.298e+03
