freq,psd_x,psd_y,psd_z,psd_xyz
151.2,5.653e+03,8.395e+02,3.681e+03,1.017e+04
152.5,5.490e+03,8.478e+02,3.553e+03,9.891e+03
153.8,5.583e+03,8.262e+02,3.324e+03,9.732e+03
155.1,5.390e+03,8.273e+02,3.347e+03,9.564e+03
156.4,5.238e+03,7.509e+02,3.080e+03,9.069e+03
157.7,4.970e+03,6.609e+02,2.891e+03,8.522e+03
159.0,4.747e+03,6.588e+02,2.763e+03,8.170e+03
160.3,4.837e+03,6.611e+02,2.698e+03,8.196e+03
161.6,4.844e+03,7.120e+02,2.811e+03,8.367e+03
162.9,4.741e+03,6.889e+02,2.806e+03,8.236e+03
164.2,5.029e+03,7.155e+02,2.731e+03,8.476e+03
165.5,4.971e+03,6.720e+02,2.848e+03,8.490e+03
166.8,4.892e+03,7.482e+02,3.113e+03,8.753e+03
168.1,4.219e+03,6.897e+02,2.787e+03,7.695e+03
169.4,4.351e+03,6.549e+02,2.557e+03,7.562e+03
170.7,4.171e+03,6.651e+02,2.493e+03,7.329e+03
172.0,3.673e+03,5.977e+02,2.465e+03,6.736e+03
173.3,3.729e+03,5.189e+02,2.355e+03,6.603e+03
174.6,3.702e+03,5.338e+02,2.217e+03,6.453e+03
175.9,3.400e+03,5.550e+02,2.127e+03,6.083e+03
177.2,3.372e+03,5.751e+02,2.137e+03,6.085e+03
178.5,3.098e+03,5.848e+02,2.175e+03,5.858e+03
179.8,3.015e+03,5.538e+02,2.053e+03,5.622e+03
181.1,3.010e+03,5.727e+02,2.071e+03,5.654e+03
182.4,3.045e+03,5.288e+02,1.974e+03,5.548e+03
183.7,2.958e+03,4.727e+02,1.869e+03,5.299e+03
185.0,3.153e+03,4.811e+02,1.856e+03,5.489e+03
186.3,3.306e+03,4.715e+02,1.748e+03,5.525e+03
187.7,3.453e+03,4.959e+02,1.909e+03,5.858e+03
189.0,3.291e+03,5.266e+02,1.848e+03,5.666e+03
190.3,3.109e+03,5.601e+02,1.765e+03,5.434e+03
191.6,2.858e+03,5.362e+02,1.723e+03,5.118e+03
192.9,3.021e+03,4.890e+02,1.694e+03,5.204e+03
194.2,2.831e+03,5.284e+02,1.553e+03,4.912e+03
195.5,2.855e+03,5.250e+02,1.616e+03,4.996e+03
196.8,2.831e+03,5.020e+02,1.551e+03,4.884e+03
198.1,2.983e+03,5.446e+02,1.624e+03,5.151e+03
199.4,2.698e+03,5.680e+02,1.880e+03,5.146e+03
