freq,psd_x,psd_y,psd_z,psd_xyz
155.2,1.607e+02,2.246e+02,2.697e+02,6.550e+02
156.7,1.103e+02,1.526e+02,2.143e+02,4.772e+02
158.2,8.621e+01,1.381e+02,2.010e+02,4.253e+02
159.7,7.275e+01,1.311e+02,1.830e+02,3.868e+02
161.2,6.117e+01,1.277e+02,1.928e+02,3.816e+02
162.7,5.933e+01,1.450e+02,1.994e+02,4.038e+02
164.2,5.983e+01,1.607e+02,2.257e+02,4.462e+02
165.7,6.286e+01,1.535e+02,2.556e+02,4.720e+02
167.2,6.669e+01,1.630e+02,2.840e+02,5.137e+02
168.7,6.116e+01,1.551e+02,3.127e+02,5.289e+02
170.2,6.290e+01,1.619e+02,3.709e+02,5.958e+02
171.7,7.183e+01,1.867e+02,4.006e+02,6.591e+02
173.2,8.459e+01,1.933e+02,3.756e+02,6.534e+02
174.7,7.942e+01,2.179e+02,3.022e+02,5.996e+02
176.3,6.290e+01,3.298e+02,2.394e+02,6.321e+02
177.8,7.028e+01,4.114e+02,2.030e+02,6.847e+02
179.3,8.101e+01,3.831e+02,1.779e+02,6.420e+02
180.8,8.560e+01,3.295e+02,1.519e+02,5.670e+02
182.3,9.032e+01,2.680e+02,1.530e+02,5.113e+02
183.8,8.748e+01,2.267e+02,1.725e+02,4.867e+02
185.3,9.428e+01,2.157e+02,2.369e+02,5.469e+02
186.8,9.489e+01,2.267e+02,2.897e+02,6.112e+02
188.3,9.400e+01,3.204e+02,3.086e+02,7.230e+02
189.8,9.845e+01,4.673e+02,3.697e+02,9.354e+02
191.3,8.738e+01,5.873e+02,5.232e+02,1.198e+03
192.8,7.885e+01,4.047e+02,4.511e+02,9.347e+02
194.3,8.971e+01,2.120e+02,3.111e+02,6.128e+02
195.8,8.688e+01,1.989e+02,2.906e+02,5.763e+02
197.3,8.572e+01,2.603e+02,3.243e+02,6.704e+02
198.9,8.888e+01,2.515e+02,3.298e+02,6.702e+02
